source,target
5,2
2,1
2,4
4,1
4,2
1,5
9,5
7,1
7,5
7,6
8,1
2,5
9,6
9,2
9,4
6,1
7,3
3,2
11,4
11,5
12,1
15,2
12,7
12,8
13,4
13,5
13,7
13,8
13,9
12,2
14,2
14,6
14,9
14,1
15,1
15,9
16,3
16,5
16,7
17,1
17,13
17,14
18,11
18,14
18,17
19,1
19,3
19,5
19,6
19,1
19,15
20,5
20,7
20,9
20,1
20,16
20,19
21,1
21,4
21,6
21,9
21,17
22,11
22,19
23,1
23,5
23,7
23,9
23,18
24,2
24,9
25,6
25,11
25,13
25,23
26,21
26,23
27,1
27,2
28,3
28,11
28,2
29,21
30,23
30,22
31,26
31,29
32,1
33,2
33,9
33,11
33,27
34,1
34,16
34,3
35,7
35,2
35,5
35,33
